file,otimal,1,
f10_l-d_kp_20_879,1025.00,1025.00,
f1_l-d_kp_10_269,295.00,290.00,
f2_l-d_kp_20_878,1024.00,1024.00,
f3_l-d_kp_4_20,35.00,35.00,
f4_l-d_kp_4_11,23.00,16.00,
f5_l-d_kp_15_375,481.07,481.07,
f6_l-d_kp_10_60,52.00,52.00,
f7_l-d_kp_7_50,107.00,90.00,
f8_l-d_kp_23_10000,9767.00,9765.00,
f9_l-d_kp_5_80,130.00,130.00,
